#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
OV|BATAN||HNN|10.0978|-83.376099|54.0|0.0|0.0|0.0|Episensor 200 Hz 10 Volt per g/Quanterra 330 Linea|427894.0|0.03|M/S**2|200.0|2007-12-01T00:00:00.0000|
OV|BATAN||HNZ|10.0978|-83.376099|54.0|0.0|0.0|-90.0|Episensor 200 Hz 10 Volt per g/Quanterra 330 Linea|427894.0|0.03|M/S**2|200.0|2007-12-01T00:00:00.0000|
OV|BATAN||LCE|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|1000000.0|0.0|S|1.0|2007-12-01T00:00:00.0000|
OV|BATAN||LCQ|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|1.0|0.0|PERCENT|1.0|2007-12-01T00:00:00.0000|
OV|BATAN||LHE|10.0978|-83.376099|54.0|0.0|90.0|0.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|6.25202E8|0.03|M/S|1.0|2007-12-01T00:00:00.0000|
OV|BATAN||LHN|10.0978|-83.376099|54.0|0.0|0.0|0.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|6.25202E8|0.03|M/S|1.0|2007-12-01T00:00:00.0000|
OV|BATAN||LHZ|10.0978|-83.376099|54.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|6.25202E8|0.03|M/S|1.0|2007-12-01T00:00:00.0000|
OV|BATAN||VCO|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|6.66667|0.0|V|0.1|2007-12-01T00:00:00.0000|
OV|BATAN||VEA|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|1000.0|0.0|A|0.1|2007-12-01T00:00:00.0000|
OV|BATAN||VEC|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|1000.0|0.0|A|0.1|2007-12-01T00:00:00.0000|
OV|BATAN||VEP|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|6.66667|0.0|V|0.1|2007-12-01T00:00:00.0000|
OV|BATAN||VKI|10.0978|-83.376099|54.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Below 100 Composite|1.0|0.0|CELSIUS|0.1|2007-12-01T00:00:00.0000|
